0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
426,0,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,4,5,3,5
446,0,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,4,3,5
346,0,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,2,5,5,3,5
246,0,5,5,5,1,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,2,5,5,3,5
266,0,5,5,5,1,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,2,5,5,3,5
166,0,5,5,5,1,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,2,5,5,3,5
186,0,5,5,5,1,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,2,5,5,3,5
86,0,5,5,5,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,3,5
98,0,5,5,5,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,3,5
78,0,5,5,4,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,3,5
58,0,5,4,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,3,5
158,0,5,5,5,1,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,3,5
178,0,5,5,5,1,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,2,5,5,3,5
258,0,5,5,5,1,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,2,5,5,3,5
238,0,5,5,5,1,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,2,5,5,3,5
338,0,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,2,5,5,3,5
218,0,5,5,5,1,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,2,5,5,3,5
318,0,5,5,5,1,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,2,5,5,3,5
418,0,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8,5,5,3,5
