0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
223,0,5,5,5,1,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,2,5,5,3,5
146,0,5,5,5,1,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,3,5
137,0,5,5,5,1,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,3,5
217,0,5,5,5,1,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,2,5,5,3,5
121,0,5,5,5,1,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,3,5
259,0,5,5,5,1,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,2,5,5,3,5
182,0,5,5,5,1,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,2,5,5,3,5
158,0,5,5,5,1,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,3,5
451,0,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,4,3,5
173,0,5,5,5,1,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,2,5,5,3,5
174,0,5,5,5,1,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,2,5,5,3,5
301,0,5,5,5,1,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,2,5,5,3,5
431,0,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,4,5,3,5
1,6,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,3,5
18,6,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,3,5
112,0,5,5,5,1,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,3,5
266,0,5,5,5,1,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,2,5,5,3,5
127,0,5,5,5,1,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,3,5
138,0,5,5,5,1,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,3,5
336,0,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,2,5,5,3,5
147,0,5,5,5,1,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,3,5
341,0,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,2,5,5,3,5
136,0,5,5,5,1,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,3,5
419,0,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8,5,5,3,5
334,0,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,2,5,5,3,5
186,0,5,5,5,1,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,2,5,5,3,5
496,0,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,3,4
393,0,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,2,5,5,3,5
143,0,5,5,5,1,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,3,5
306,0,5,5,5,1,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,2,5,5,3,5
119,0,5,5,5,1,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,3,5
242,0,5,5,5,1,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,2,5,5,3,5
162,0,5,5,5,1,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,2,5,5,3,5
243,0,5,5,5,1,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,2,5,5,3,5
153,0,5,5,5,1,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,3,5
321,0,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,2,5,5,3,5
392,0,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,2,5,5,3,5
418,0,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8,5,5,3,5
403,0,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8,5,5,3,5
381,0,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,2,5,5,3,5
472,0,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,9,5
19,6,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,3,5
152,0,5,5,5,1,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,3,5
357,0,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,2,5,5,3,5
352,0,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,2,5,5,3,5
126,0,5,5,5,1,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,3,5
201,0,5,5,5,1,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,2,5,5,3,5
71,0,5,5,4,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,3,5
279,0,5,5,5,1,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,2,5,5,3,5
379,0,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,2,5,5,3,5
271,0,5,5,5,1,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,2,5,5,3,5
312,0,5,5,5,1,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,2,5,5,3,5
62,0,5,5,4,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,3,5
224,0,5,5,5,1,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,2,5,5,3,5
